Freelancer_ID,Job_Category,Platform,Experience_Level,Client_Region,Payment_Method,Job_Completed,Earnings_USD,Hourly_Rate,Job_Success_Rate,Client_Rating,Job_Duration_Days,Project_Type,Rehire_Rate,Marketing_Spend,z_score
37,App Development,Freelancer,Intermediate,Canada,Bank Transfer,235,8217,96.81,65.23,4.46,35,Hourly,39.2,311,1.093625390113892
38,App Development,Toptal,Beginner,Canada,Bank Transfer,259,1606,39.41,54.88,3.99,84,Hourly,21.22,174,-1.1661364804391037
39,Graphic Design,Freelancer,Beginner,USA,Mobile Banking,176,1201,66.85,84.21,3.87,37,Fixed,21.97,198,-1.304572958668413
40,Customer Support,Upwork,Expert,Asia,Bank Transfer,184,5364,67.91,72.01,4.46,60,Fixed,39.27,115,0.11841731014298032
41,Digital Marketing,Toptal,Expert,USA,Crypto,268,1267,43.35,56.1,4.53,65,Hourly,63.01,423,-1.282012939994007
42,Customer Support,Freelancer,Beginner,Asia,Mobile Banking,187,3994,35.1,74.76,3.32,16,Fixed,72.86,314,-0.3498739865833249
43,Content Writing,Upwork,Intermediate,Europe,Mobile Banking,209,8089,93.71,51.72,4.22,30,Hourly,15.89,426,1.049872626624135
44,Graphic Design,Freelancer,Expert,Australia,Bank Transfer,253,2092,80.05,95.47,3.27,73,Hourly,37.52,219,-1.0000127065639326
45,Digital Marketing,Fiverr,Intermediate,Australia,PayPal,217,6353,15.87,62.94,4.5,42,Hourly,17.02,378,0.4564757717943058
46,Content Writing,Upwork,Beginner,Canada,Mobile Banking,163,8947,16.39,83.13,4.31,61,Fixed,11.16,65,1.3431528693914123
47,Content Writing,Freelancer,Beginner,Canada,Bank Transfer,104,2719,92.64,65.59,4.91,74,Fixed,56.32,264,-0.7856925291570762
48,Web Development,Fiverr,Expert,Europe,Bank Transfer,116,2163,12.73,76.0,3.14,77,Fixed,52.17,133,-0.9757435955657081
49,Graphic Design,Fiverr,Intermediate,Middle East,PayPal,170,3027,70.4,77.34,3.11,48,Hourly,21.41,118,-0.6804124420098484
50,Content Writing,Upwork,Expert,Middle East,Mobile Banking,40,4428,26.54,59.24,3.56,62,Fixed,26.37,121,-0.20152477287586765
51,SEO,PeoplePerHour,Beginner,Middle East,PayPal,116,7277,8.34,98.48,3.52,84,Hourly,11.66,320,0.7723160332359891
52,App Development,Toptal,Intermediate,Australia,Crypto,91,6311,10.67,88.76,3.49,64,Fixed,68.45,386,0.4421193962742293
53,Content Writing,Upwork,Expert,USA,PayPal,187,472,40.48,96.97,4.81,57,Hourly,78.23,457,-1.5537586194811694
54,Digital Marketing,Fiverr,Expert,Middle East,PayPal,89,8772,12.37,94.74,3.5,68,Hourly,19.48,420,1.2833346380577602
55,Web Development,Fiverr,Expert,UK,Bank Transfer,273,140,61.68,79.89,3.54,46,Fixed,26.2,382,-1.6672423497827267
56,Data Entry,Upwork,Beginner,Europe,PayPal,169,3422,66.49,96.09,4.52,28,Hourly,70.79,491,-0.5453941484281765
57,App Development,PeoplePerHour,Expert,Middle East,Crypto,94,6086,40.48,54.42,3.9,77,Fixed,74.85,86,0.3652102417023908
58,Web Development,Toptal,Intermediate,UK,Bank Transfer,242,1992,75.57,59.8,4.55,3,Fixed,39.37,288,-1.0341945530403054
59,Data Entry,Freelancer,Expert,Middle East,Crypto,26,3855,51.55,52.26,3.13,37,Fixed,13.54,136,-0.3973867531854829
60,Graphic Design,Upwork,Beginner,USA,PayPal,171,9482,45.87,66.27,3.98,48,Fixed,12.76,52,1.526025748040006
61,Graphic Design,Toptal,Expert,USA,Crypto,219,147,43.66,69.43,3.07,19,Fixed,50.18,204,-1.6648496205293806
62,Content Writing,Toptal,Beginner,Middle East,Crypto,62,1529,45.96,63.57,3.13,83,Hourly,37.5,347,-1.1924565022259106
63,SEO,Fiverr,Beginner,UK,PayPal,34,4676,96.95,91.44,4.81,17,Fixed,12.01,50,-0.11675379361446347
64,Graphic Design,Freelancer,Intermediate,Europe,PayPal,110,5197,69.73,67.84,3.28,82,Hourly,50.83,326,0.061333626527438005
65,Customer Support,Upwork,Intermediate,UK,Bank Transfer,171,3697,34.94,64.05,4.06,82,Fixed,10.79,409,-0.4513940706181517
66,Content Writing,Fiverr,Expert,Europe,Bank Transfer,158,5493,74.72,77.13,3.82,87,Hourly,65.12,399,0.16251189209750103
67,App Development,Fiverr,Beginner,Middle East,Mobile Banking,11,129,36.38,57.05,3.69,40,Hourly,31.45,39,-1.6710023528951277
68,Web Development,PeoplePerHour,Beginner,Europe,Bank Transfer,201,5627,16.94,90.11,4.8,50,Fixed,12.82,249,0.2083155663758404
69,Graphic Design,Toptal,Intermediate,Canada,PayPal,50,2273,50.16,53.73,3.04,73,Hourly,51.18,217,-0.9381435644416982
70,Customer Support,Upwork,Intermediate,Australia,Crypto,22,2619,76.35,99.34,4.33,29,Fixed,37.84,178,-0.8198743756334488
71,Web Development,Upwork,Expert,Asia,Crypto,157,4568,40.88,88.61,4.93,51,Fixed,78.17,38,-0.15367018780894595
72,Web Development,Upwork,Beginner,Australia,Bank Transfer,268,1173,87.57,59.94,4.12,42,Fixed,48.09,182,-1.3141438756817974
73,SEO,Fiverr,Intermediate,USA,Bank Transfer,78,2673,41.76,50.28,4.87,29,Hourly,29.27,223,-0.8014161785362076
74,Graphic Design,PeoplePerHour,Expert,Canada,PayPal,149,1453,38.23,90.77,3.1,66,Hourly,59.66,163,-1.2184347055479539
75,Web Development,Freelancer,Beginner,Australia,Crypto,106,2628,99.83,85.34,3.84,17,Hourly,29.0,233,-0.8167980094505752
76,SEO,Fiverr,Beginner,Middle East,Mobile Banking,125,381,50.83,86.45,3.52,31,Hourly,73.3,376,-1.5848640997746686
77,SEO,Freelancer,Intermediate,Europe,Mobile Banking,180,7535,81.5,88.56,4.46,52,Fixed,36.23,192,0.8605051971450305
78,Graphic Design,PeoplePerHour,Expert,Europe,Bank Transfer,67,789,81.47,53.7,4.96,39,Fixed,48.49,496,-1.4454021661510683
79,SEO,Toptal,Intermediate,UK,Mobile Banking,88,8283,93.01,67.92,3.51,60,Hourly,13.54,84,1.1161854087882979
80,Graphic Design,Upwork,Expert,UK,PayPal,19,5030,13.07,55.79,4.31,51,Hourly,39.83,460,0.004249942911895686
81,Customer Support,Freelancer,Beginner,Europe,Mobile Banking,138,3928,30.77,93.16,3.4,84,Fixed,68.27,242,-0.37243400525773085
82,Graphic Design,Fiverr,Expert,Middle East,Bank Transfer,125,1999,77.94,81.16,4.13,16,Hourly,66.4,473,-1.0318018237869593
83,Data Entry,Freelancer,Expert,Europe,PayPal,132,3510,58.45,66.54,3.93,14,Fixed,25.7,172,-0.5153141235289685
84,Web Development,Toptal,Expert,UK,Crypto,292,2178,58.16,53.18,4.94,84,Hourly,25.83,392,-0.9706163185942521
85,Customer Support,Upwork,Expert,Australia,PayPal,184,4547,20.79,65.55,4.22,42,Hourly,67.21,36,-0.16084837556898418
86,Digital Marketing,Freelancer,Expert,USA,Bank Transfer,86,2204,31.71,66.26,3.7,51,Hourly,75.13,86,-0.9617290385103953
87,Graphic Design,Toptal,Intermediate,UK,Bank Transfer,17,5280,54.53,86.48,3.23,24,Fixed,16.68,128,0.0897045591028273
88,Web Development,Fiverr,Expert,Middle East,Mobile Banking,28,7494,31.33,81.88,3.3,82,Fixed,41.5,193,0.8464906400897176
89,App Development,PeoplePerHour,Expert,Australia,Mobile Banking,172,1287,24.98,94.36,3.45,43,Hourly,33.62,318,-1.2751765706987324
90,SEO,Fiverr,Beginner,Australia,Crypto,274,8747,13.34,73.61,3.5,73,Hourly,70.95,42,1.274789176438667
91,Content Writing,Upwork,Expert,Australia,Crypto,74,5290,19.79,55.98,4.7,19,Hourly,15.85,411,0.09312274375046456
92,Graphic Design,Fiverr,Beginner,Canada,Bank Transfer,93,4865,78.04,85.66,4.12,84,Hourly,24.78,355,-0.05215010377411918
93,SEO,Fiverr,Intermediate,Canada,Bank Transfer,193,9636,73.28,88.04,4.05,61,Hourly,62.67,158,1.5786657916136198
94,SEO,Fiverr,Intermediate,Asia,Bank Transfer,261,306,9.35,78.06,3.23,63,Hourly,13.59,104,-1.6105004846319482
95,SEO,Fiverr,Expert,Australia,Crypto,221,1770,24.31,88.55,4.72,26,Hourly,44.48,452,-1.1100782522178525
96,SEO,Upwork,Intermediate,Middle East,Bank Transfer,36,7397,58.24,74.69,4.45,35,Hourly,40.95,228,0.8133342490076362
97,SEO,Toptal,Expert,Europe,Crypto,145,7126,35.65,76.14,3.14,67,Fixed,33.41,216,0.7207014450566663
98,Graphic Design,Freelancer,Intermediate,Middle East,Bank Transfer,165,1121,83.21,71.38,4.42,56,Fixed,37.62,263,-1.331918435849511
99,App Development,PeoplePerHour,Expert,Canada,PayPal,36,1672,79.57,51.27,4.09,40,Fixed,47.1,417,-1.1435764617646977
100,Digital Marketing,Freelancer,Expert,UK,PayPal,156,2116,89.7,55.39,3.16,29,Fixed,21.3,486,-0.9918090634096032
101,Data Entry,Freelancer,Beginner,Asia,Bank Transfer,264,9311,58.48,51.57,3.92,6,Hourly,50.04,48,1.4675747905654086
102,SEO,PeoplePerHour,Beginner,Canada,PayPal,220,8692,38.45,81.82,3.97,52,Fixed,66.38,351,1.255989160876662
103,SEO,Upwork,Beginner,Europe,Crypto,283,947,62.58,65.72,3.33,1,Fixed,63.21,441,-1.3913948487183994
104,Data Entry,PeoplePerHour,Beginner,USA,Mobile Banking,289,5225,13.47,75.43,4.89,52,Hourly,20.77,122,0.07090454354082235
105,App Development,Upwork,Expert,Asia,PayPal,102,8323,5.91,95.38,4.7,24,Fixed,20.45,458,1.129858147378847
106,Customer Support,Freelancer,Intermediate,Canada,Mobile Banking,34,8978,6.62,62.46,4.34,34,Fixed,28.77,302,1.3537492417990877
107,App Development,Upwork,Expert,Middle East,PayPal,94,4224,43.72,70.52,3.92,7,Fixed,35.28,24,-0.27125573968766786
108,Customer Support,Toptal,Beginner,Asia,Crypto,152,5831,26.67,87.78,3.82,75,Fixed,38.59,130,0.27804653318764055
109,Graphic Design,PeoplePerHour,Beginner,Middle East,PayPal,148,3994,19.95,61.44,4.3,11,Fixed,57.58,428,-0.3498739865833249
110,Web Development,Toptal,Intermediate,Australia,PayPal,71,6476,63.46,53.85,4.09,36,Hourly,13.97,369,0.49851944296024414
111,Content Writing,Freelancer,Beginner,Australia,Bank Transfer,62,5485,99.53,64.49,3.12,20,Hourly,12.43,435,0.15977734437939123
112,Content Writing,PeoplePerHour,Expert,Australia,Mobile Banking,285,9933,21.89,58.06,4.03,63,Hourly,37.43,223,1.6801858756484465
113,Web Development,Freelancer,Expert,Asia,Mobile Banking,283,9421,56.91,96.48,4.61,80,Fixed,58.8,499,1.5051748216894185
114,Graphic Design,Toptal,Expert,USA,Crypto,240,2985,16.37,90.41,3.92,63,Fixed,23.54,98,-0.6947688175299249
115,Content Writing,Freelancer,Expert,Europe,Crypto,132,5883,93.75,81.67,3.1,69,Fixed,54.91,351,0.29582109335535434
116,App Development,PeoplePerHour,Expert,Asia,Mobile Banking,213,8138,32.72,93.57,4.57,88,Hourly,28.19,289,1.0666217313975574
117,Data Entry,PeoplePerHour,Intermediate,UK,Bank Transfer,190,511,88.44,90.18,3.4,30,Fixed,72.03,484,-1.5404276993553843
118,Web Development,Freelancer,Expert,Middle East,Bank Transfer,173,166,31.89,59.33,3.52,30,Fixed,72.7,499,-1.6583550696988698
119,App Development,PeoplePerHour,Beginner,Middle East,Mobile Banking,176,5835,81.57,94.63,3.33,84,Fixed,30.81,196,0.2794138070466955
120,Digital Marketing,PeoplePerHour,Beginner,Asia,PayPal,264,6557,24.89,76.97,3.66,22,Fixed,26.1,108,0.526206738606106
121,Graphic Design,Freelancer,Beginner,Asia,Mobile Banking,209,9896,32.81,90.37,4.51,61,Hourly,38.79,347,1.6675385924521886
122,Web Development,Toptal,Beginner,Europe,PayPal,139,5880,23.29,94.8,4.04,21,Hourly,26.84,219,0.2947956379610632
123,Content Writing,PeoplePerHour,Intermediate,USA,Mobile Banking,50,4611,30.1,65.9,3.41,37,Fixed,57.07,263,-0.1389719938241057
124,Graphic Design,PeoplePerHour,Beginner,Asia,PayPal,13,8177,84.31,55.5,4.76,27,Hourly,67.82,410,1.0799526515233429
125,Data Entry,PeoplePerHour,Intermediate,Australia,Bank Transfer,165,709,65.71,61.4,4.76,35,Hourly,57.12,207,-1.4727476433321665
126,Graphic Design,PeoplePerHour,Beginner,Europe,Mobile Banking,293,2172,43.56,71.36,4.74,38,Hourly,67.7,318,-0.9726672293828346
127,Graphic Design,Freelancer,Intermediate,UK,Crypto,110,1636,97.29,90.9,3.48,60,Fixed,37.79,81,-1.155881926496192
128,Data Entry,Toptal,Intermediate,Australia,PayPal,294,4732,49.16,93.04,3.9,70,Hourly,20.94,24,-0.0976119595876948
129,SEO,Toptal,Intermediate,UK,Bank Transfer,92,6849,97.13,50.35,4.97,32,Hourly,61.66,185,0.6260177303171142
130,Data Entry,Upwork,Beginner,Canada,Crypto,196,8876,23.68,75.54,4.54,80,Fixed,35.23,431,1.3188837583931876
131,App Development,PeoplePerHour,Intermediate,UK,Bank Transfer,157,7037,90.94,70.87,3.05,80,Hourly,56.99,384,0.6902796016926946
132,Graphic Design,PeoplePerHour,Expert,Australia,PayPal,141,8025,6.31,61.11,3.13,27,Hourly,28.95,7,1.0279962448792563
133,Customer Support,Upwork,Expert,Canada,Mobile Banking,277,2932,56.8,55.99,3.93,3,Hourly,15.69,123,-0.7128851961624024
134,Data Entry,Toptal,Beginner,Australia,Bank Transfer,153,5299,45.19,66.88,4.82,49,Fixed,79.48,148,0.0961991099333381
135,SEO,Fiverr,Expert,Middle East,Mobile Banking,192,2861,54.88,97.15,4.08,85,Fixed,20.93,97,-0.737154307160627
136,App Development,Fiverr,Expert,Australia,Mobile Banking,145,5577,57.58,66.16,4.0,30,Hourly,79.19,215,0.19122464313765405
137,Customer Support,Toptal,Expert,Canada,Bank Transfer,135,1934,41.96,75.94,3.21,22,Fixed,78.41,100,-1.0540200239966013
138,Customer Support,PeoplePerHour,Beginner,UK,Bank Transfer,8,9760,99.83,85.15,4.31,19,Fixed,65.57,217,1.6210512812443219
139,Web Development,Fiverr,Beginner,Middle East,Bank Transfer,267,8863,97.77,68.18,4.64,31,Fixed,56.16,366,1.3144401183512593
140,Data Entry,Freelancer,Expert,USA,Mobile Banking,30,5123,96.37,98.59,3.76,20,Hourly,50.45,461,0.036039060134922245
141,Data Entry,Freelancer,Beginner,USA,Crypto,28,9779,98.01,98.12,4.55,19,Hourly,70.63,412,1.6275458320748326
142,Graphic Design,Upwork,Intermediate,USA,PayPal,270,5466,80.34,62.59,4.93,2,Fixed,30.26,413,0.1532827935488804
143,App Development,Toptal,Expert,USA,Crypto,233,5850,98.92,74.86,3.41,40,Hourly,42.74,258,0.28454108401815137
144,Web Development,Toptal,Beginner,Europe,Mobile Banking,273,6945,89.77,65.04,4.05,39,Fixed,53.36,390,0.6588323029344318
145,Digital Marketing,Fiverr,Beginner,USA,Bank Transfer,129,6365,44.51,64.24,3.57,72,Fixed,38.78,355,0.46057759337147053
146,Digital Marketing,PeoplePerHour,Expert,Canada,Bank Transfer,176,4980,79.55,51.84,4.59,54,Hourly,39.92,10,-0.012840980326290637
147,Content Writing,Toptal,Beginner,Asia,PayPal,238,2415,91.65,80.48,4.16,27,Fixed,33.12,415,-0.889605342445249
148,Data Entry,Fiverr,Expert,USA,PayPal,299,904,72.7,75.13,4.27,79,Fixed,49.5,58,-1.4060930427032396
149,Data Entry,Fiverr,Beginner,Australia,Crypto,279,2778,45.16,52.57,4.6,12,Fixed,69.54,249,-0.7655252397360163
150,Web Development,Toptal,Intermediate,Asia,Crypto,80,965,11.25,63.93,3.79,78,Fixed,24.11,139,-1.3852421163526525
151,SEO,Fiverr,Expert,USA,PayPal,218,7223,81.92,95.41,4.83,71,Hourly,75.41,334,0.7538578361387478
152,Digital Marketing,Upwork,Intermediate,Asia,Mobile Banking,162,4988,95.51,61.98,4.07,17,Fixed,58.24,37,-0.010106432608180825
153,Content Writing,Upwork,Expert,UK,Crypto,208,181,39.43,57.24,3.32,84,Hourly,67.63,121,-1.653227792727414
154,Web Development,Toptal,Beginner,Canada,Bank Transfer,153,9358,19.43,74.47,4.39,10,Fixed,48.93,407,1.4836402584093038
155,Data Entry,PeoplePerHour,Intermediate,Canada,Bank Transfer,79,3643,36.02,99.28,4.59,19,Hourly,64.57,64,-0.4698522677153929
156,Digital Marketing,Upwork,Beginner,Asia,Mobile Banking,233,9102,60.35,62.1,3.63,82,Fixed,11.13,145,1.3961347314297898
157,App Development,Upwork,Expert,Middle East,PayPal,66,343,35.11,83.61,4.71,30,Fixed,67.29,301,-1.5978532014356903
158,Content Writing,Toptal,Expert,Europe,Crypto,62,9241,63.01,88.08,4.81,30,Hourly,12.81,124,1.4436474980319478
159,Graphic Design,Freelancer,Expert,Australia,Bank Transfer,278,3735,96.85,61.88,3.55,25,Hourly,72.29,311,-0.4384049689571301
160,Digital Marketing,Fiverr,Expert,Asia,PayPal,112,8066,68.72,86.41,4.97,88,Fixed,79.44,190,1.0420108019345693
161,Content Writing,Upwork,Expert,Canada,Crypto,191,7812,39.45,68.39,3.28,74,Fixed,30.58,262,0.9551889118845827
162,Web Development,Freelancer,Intermediate,UK,Mobile Banking,233,6896,93.9,81.62,3.4,66,Fixed,24.72,489,0.6420831981610092
163,Graphic Design,PeoplePerHour,Expert,USA,Bank Transfer,52,7634,58.74,81.68,3.37,35,Fixed,63.58,360,0.8943452251566394
164,Content Writing,Freelancer,Beginner,Canada,Mobile Banking,272,7360,17.2,76.79,4.79,51,Fixed,27.71,449,0.8006869658113783
165,Content Writing,Toptal,Intermediate,UK,Mobile Banking,219,5406,52.4,54.51,4.31,71,Hourly,70.59,295,0.13277368566305683
166,Customer Support,PeoplePerHour,Beginner,USA,Mobile Banking,294,336,67.1,91.77,3.3,71,Hourly,17.2,181,-1.6002459306890364
167,Customer Support,PeoplePerHour,Expert,Europe,Crypto,258,8691,84.63,66.04,3.88,27,Fixed,18.82,158,1.2556473424118983
168,Customer Support,Freelancer,Beginner,Canada,Mobile Banking,91,6636,93.97,59.33,4.23,10,Hourly,78.54,352,0.5532103973224404
169,Data Entry,Toptal,Intermediate,Canada,Crypto,185,5353,35.15,52.04,3.17,43,Hourly,57.17,307,0.11465730703057933
170,SEO,Upwork,Intermediate,Asia,Crypto,29,3166,19.77,79.54,4.76,55,Fixed,69.28,477,-0.6328996754076904
171,Digital Marketing,Freelancer,Intermediate,Asia,Mobile Banking,226,5924,12.01,83.88,4.61,71,Hourly,32.7,286,0.30983565041066713
172,Data Entry,Upwork,Beginner,UK,Mobile Banking,53,7020,75.14,50.83,4.01,6,Fixed,57.35,161,0.6844686877917113
173,App Development,Freelancer,Intermediate,Middle East,PayPal,179,8198,80.54,75.6,4.93,6,Hourly,51.6,262,1.0871308392833812
174,Graphic Design,Upwork,Beginner,Asia,Bank Transfer,278,8494,43.89,61.32,3.84,77,Hourly,52.22,216,1.1883091048534442
175,SEO,Freelancer,Expert,Australia,PayPal,39,9661,42.61,82.26,4.97,48,Hourly,57.78,399,1.587211253232713
176,Content Writing,PeoplePerHour,Expert,Europe,Bank Transfer,221,1285,95.65,58.72,4.34,77,Hourly,50.28,405,-1.27586020762826
177,Data Entry,Fiverr,Beginner,Australia,Bank Transfer,213,1049,92.08,84.55,4.27,2,Hourly,40.03,483,-1.3565293653124995
178,Customer Support,PeoplePerHour,Intermediate,Canada,PayPal,164,3810,27.16,69.34,3.33,83,Fixed,29.31,180,-0.4127685840998506
179,SEO,Upwork,Beginner,Australia,PayPal,11,4166,79.18,96.84,4.76,51,Hourly,63.8,90,-0.291081210643964
180,App Development,Toptal,Beginner,USA,Bank Transfer,273,4461,64.16,56.88,3.85,61,Fixed,25.84,16,-0.19024476353866468
181,Digital Marketing,PeoplePerHour,Beginner,Europe,Bank Transfer,130,5607,19.65,67.05,3.32,19,Hourly,58.46,124,0.20147919708056586
182,App Development,Fiverr,Expert,Australia,Bank Transfer,94,9688,38.89,55.67,3.03,2,Hourly,26.33,259,1.5964403517813335
183,Graphic Design,Upwork,Beginner,USA,Crypto,46,5402,21.86,96.23,4.12,51,Hourly,53.77,444,0.13140641180400192
184,Web Development,PeoplePerHour,Expert,UK,Bank Transfer,163,3733,33.04,93.87,4.05,26,Fixed,62.3,377,-0.43908860588665755
185,Data Entry,Freelancer,Beginner,Australia,Mobile Banking,206,2311,63.45,62.9,4.44,70,Hourly,25.31,354,-0.9251544627806766
186,Customer Support,Toptal,Expert,Europe,Mobile Banking,286,1903,40.65,83.0,4.78,20,Hourly,14.2,488,-1.064616396404277
187,Graphic Design,Upwork,Beginner,USA,Mobile Banking,292,8841,42.44,90.86,3.16,23,Fixed,19.17,213,1.3069201121264573
188,Web Development,PeoplePerHour,Beginner,Australia,PayPal,95,6945,56.27,77.76,4.46,54,Fixed,52.42,238,0.6588323029344318
189,Customer Support,Upwork,Intermediate,UK,PayPal,129,3040,13.29,76.48,3.37,15,Fixed,69.46,179,-0.67596880196792
190,Customer Support,Freelancer,Intermediate,Australia,PayPal,130,912,75.19,62.09,4.72,6,Hourly,13.15,418,-1.4033584949851299
191,Customer Support,Fiverr,Beginner,USA,Bank Transfer,56,4577,43.16,54.66,4.64,35,Hourly,61.39,171,-0.1505938216260724
192,Data Entry,PeoplePerHour,Beginner,Australia,Mobile Banking,107,1269,50.64,94.86,4.08,75,Hourly,33.89,142,-1.2813293030644795
193,Graphic Design,Upwork,Beginner,Europe,Bank Transfer,191,3845,97.56,95.02,4.42,8,Hourly,43.5,316,-0.40080493783312016
194,Customer Support,Upwork,Beginner,Canada,Crypto,209,577,37.71,81.66,3.63,57,Fixed,75.02,243,-1.5178676806809783
195,App Development,Upwork,Intermediate,USA,Crypto,18,7419,66.58,66.95,3.94,50,Fixed,33.24,231,0.8208542552324382
196,Graphic Design,Fiverr,Expert,USA,PayPal,108,2972,42.29,67.46,4.64,49,Hourly,42.57,171,-0.6992124575718534
197,SEO,Upwork,Beginner,USA,Crypto,121,5899,89.96,86.3,3.92,88,Fixed,10.96,276,0.301290188791574
198,App Development,Toptal,Intermediate,USA,Mobile Banking,97,1212,85.44,94.86,3.72,21,Fixed,15.71,76,-1.300812955556012
199,Data Entry,Toptal,Beginner,Australia,Crypto,148,896,27.95,94.35,3.99,36,Fixed,28.1,302,-1.4088275904213494
200,Customer Support,Upwork,Beginner,Europe,PayPal,114,7009,70.72,88.99,4.66,71,Hourly,11.95,330,0.6807086846793103
201,Graphic Design,Toptal,Expert,UK,Bank Transfer,167,3136,11.19,82.1,3.67,69,Fixed,54.2,48,-0.6431542293506022
