id,nama,propinsi,kab,jenis,kelas,status_blu,kepemilikan,total_tempat_tidur,total_layanan,total_tenaga_kerja
1174021,RS Umum Sakinah,Aceh,Kota Lhokseumawe,Rumah Sakit Umum,D,Non BLU/BLUD,SWASTA/LAINNYA,68,22,119
1174100,RS Tk. IV Lhokseumawe Aceh Utara,Aceh,Kota Lhokseumawe,Rumah Sakit Umum,C,Non BLU/BLUD,TNI AD,171,60,303
1110104,RS Umum Jeumpa Hospital,Aceh,Bireuen,Rumah Sakit Umum,C,Non BLU/BLUD,SWASTA/LAINNYA,104,28,151
1113023,RS Tanoh Gayo,Aceh,Gayo Lues,Rumah Sakit Umum,D,Non BLU/BLUD,Kementerian Lain,54,22,
1116011,RS Umum Daerah Teuku Umar Kabupaten Aceh Jaya,Aceh,Aceh Jaya,Rumah Sakit Umum,C,BLUD,Pemkab,107,23,406
1172031,RS AL Sabang,Aceh,Kota Sabang,Rumah Sakit Umum,D,Non BLU/BLUD,TNI AL,52,17,20
1103022,RS Umum Daerah Type D Pratama T. Cut Ali,Aceh,Aceh Selatan,Rumah Sakit Umum,D PRATAMA,Non BLU/BLUD,Pemkab,0,3,
1173012,RS Umum Daerah Langsa,Aceh,Kota Langsa,Rumah Sakit Umum,B,BLUD,Pemkot,361,65,1169
1109027,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Aceh,Pidie,Rumah Sakit Umum,C,BLUD,Pemkab,200,25,801
1171085,RS Umum Malahayati,Aceh,Kota Banda Aceh,Rumah Sakit Umum,D,Non BLU/BLUD,Organisasi Sosial,42,13,18
1108017,RS Umum Ibnu Sina,Aceh,Aceh Besar,Rumah Sakit Umum,D,Non BLU/BLUD,SWASTA/LAINNYA,63,33,67
1113012,RS Umum Muhammad Ali Kasim,Aceh,Gayo Lues,Rumah Sakit Umum,C,BLUD,Pemkab,159,24,640
1105034,RS Umum Pertamina Rantau,Aceh,Aceh Tamiang,Rumah Sakit Umum,D,Non BLU/BLUD,BUMN,50,21,49
1111006,RS Umum Daerah dr. Muchtar Hasbi,Aceh,Aceh Utara,Rumah Sakit Umum,D PRATAMA,Non BLU/BLUD,Pemkab,28,13,
1110027,RS Umum Malahayati,Aceh,Bireuen,Rumah Sakit Umum,D,Non BLU/BLUD,Organisasi Sosial,74,35,123
1171106,RS Umum Teungku Fakinah,Aceh,Kota Banda Aceh,Rumah Sakit Umum,C,Non BLU/BLUD,Organisasi Sosial,113,39,148
1105056,RS Umum Daerah dr. Zubir Mahmud,Aceh,Aceh Timur,Rumah Sakit Umum,B,BLUD,Pemkab,246,47,636
1115012,RS Umum Daerah Sultan Iskandar Muda Nagan Raya,Aceh,Nagan Raya,Rumah Sakit Umum,C,BLUD,Pemkab,215,44,577
1110103,RS Umum Avicenna,Aceh,Bireuen,Rumah Sakit Umum,D,Non BLU/BLUD,SWASTA/LAINNYA,50,17,101
1111029,RS Zahra,Aceh,Aceh Utara,Rumah Sakit Umum,D,Non BLU/BLUD,SWASTA/LAINNYA,56,11,
1103021,RS Cahaya Sehat,Aceh,Aceh Selatan,Rumah Sakit Umum,D,Non BLU/BLUD,Kementerian Lain,71,20,
1105067,RS Umum Daerah Sultan Abdul Aziz Syah Peureulak,Aceh,Aceh Timur,Rumah Sakit Umum,C,BLUD,Pemkab,170,34,480
1174064,RS Umum Kasih Ibu Lhokseumawe,Aceh,Kota Lhokseumawe,Rumah Sakit Umum,C,Non BLU/BLUD,Organisasi Sosial,116,26,80
1171161,RS Umum Cempaka Lima,Aceh,Kota Banda Aceh,Rumah Sakit Umum,C,Non BLU/BLUD,Perusahaan,135,96,
1171121,RS Ibu dan Anak Pemerintah Aceh,Aceh,Kota Banda Aceh,Rumah Sakit Khusus Ibu dan Anak,B,BLUD,Pemprop,108,29,453
1102016,RS Umum Daerah Aceh Singkil,Aceh,Aceh Singkil,Rumah Sakit Umum,C,BLUD,Pemkab,101,32,566
1171146,RS Ibu dan Anak Cempaka Az Zahra Banda Aceh,Aceh,Kota Banda Aceh,Rumah Sakit Khusus Ibu dan Anak,C,Non BLU/BLUD,Perusahaan,46,18,66
1107014,RS Umum Daerah Cut Nyak Dhien,Aceh,Aceh Barat,Rumah Sakit Umum,B,BLUD,Pemkab,267,16,812
1171015,RS Umum Daerah  Dr. Zainoel Abidin,Aceh,Kota Banda Aceh,Rumah Sakit Umum,A,BLUD,Pemprop,833,141,2039
1107017,RS Tk. IV IM 07.02,Aceh,Aceh Barat,Rumah Sakit Umum,D,Non BLU/BLUD,TNI AD,56,23,20
1109031,RS Islam Ibnu Sina Sigli,Aceh,Pidie,Rumah Sakit Umum,D,Non BLU/BLUD,SWASTA/LAINNYA,72,31,196
1104012,RS Umum Nurul Hasanah,Aceh,Aceh Tenggara,Rumah Sakit Umum,C,Non BLU/BLUD,SWASTA/LAINNYA,123,26,167
1110086,RS Umum Bunda ,Aceh,Kota Lhokseumawe,Rumah Sakit Umum,C,Non BLU/BLUD,Organisasi Sosial,101,33,261
1172016,RS Umum Daerah Sabang,Aceh,Kota Sabang,Rumah Sakit Umum,C,Non BLU/BLUD,Pemkot,104,29,289
1117027,RS Ibu dan Anak Azalia,Aceh,Bener Meriah,Rumah Sakit Khusus Ibu dan Anak,C,Non BLU/BLUD,Perorangan,60,16,13
1107016,RS Umum Harapan Sehat,Aceh,Aceh Barat,Rumah Sakit Umum,D,Non BLU/BLUD,SWASTA/LAINNYA,51,25,53
1104011,RS Umum Daerah H. Sahudin Kutacane,Aceh,Aceh Tenggara,Rumah Sakit Umum,C,BLUD,Pemkab,180,32,493
1109016,RS Umum Daerah TGK Chik Ditiro Sigli,Aceh,Pidie,Rumah Sakit Umum,B,BLUD,Pemkab,294,31,1949
1171150,RS Umum Pertamedika Ummi Rosnati,Aceh,Kota Banda Aceh,Rumah Sakit Umum,C,Non BLU/BLUD,Perusahaan,151,54,243
1171041,RS Jiwa Aceh,Aceh,Kota Banda Aceh,Rumah Sakit Khusus Jiwa,A,BLUD,Pemprop,354,29,541
1109029,RS Umum Citra Husada,Aceh,Pidie,Rumah Sakit Umum,D,Non BLU/BLUD,Perusahaan,89,75,159
1112011,RS Umum Daerah Teungku Peukan,Aceh,Aceh Barat Daya,Rumah Sakit Umum,C,BLUD,Pemkab,256,96,1100
1111018,RS Umum PMI Cabang Aceh Utara,Aceh,Kota Lhokseumawe,Rumah Sakit Umum,D,Non BLU/BLUD,Organisasi Sosial,73,15,60
1171145,RS Umum Meutia,Aceh,Kota Banda Aceh,Rumah Sakit Umum,D,Non BLU/BLUD,SWASTA/LAINNYA,51,14,63
1173023,RS Umum Cut Meutia,Aceh,Kota Langsa,Rumah Sakit Umum,C,Non BLU/BLUD,BUMN,113,18,36
1110101,RS Umum Bireuen Medical Center ,Aceh,Bireuen,Rumah Sakit Umum,D,Non BLU/BLUD,Organisasi Sosial,75,27,221
1107015,RS Umum Montella,Aceh,Aceh Barat,Rumah Sakit Umum,D,Non BLU/BLUD,SWASTA/LAINNYA,51,16,55
1174016,RS Umum Cut Meutia Kab. Aceh Utara,Aceh,Kota Lhokseumawe,Rumah Sakit Umum,B,BLUD,Pemkab,275,106,1352
1171096,RS Umum Harapan Bunda Banda Aceh,Aceh,Kota Banda Aceh,Rumah Sakit Umum,C,Non BLU/BLUD,Organisasi Sosial,154,32,379
1111005,RS Umum Prima Inti Medika,Aceh,Aceh Utara,Rumah Sakit Umum,D,Non BLU/BLUD,Perusahaan,70,29,44
1174024,RS Umum Az-Zuhra,Aceh,Kota Lhokseumawe,Rumah Sakit Umum,D,Non BLU/BLUD,Perusahaan,51,29,19
1118012,RS Umum Daerah Pidie Jaya,Aceh,Pidie Jaya,Rumah Sakit Umum,B,BLUD,Pemkab,250,16,235
1171147,RS Pendidikan Universitas Syiah Kuala,Aceh,Kota Banda Aceh,Rumah Sakit Umum,D,Non BLU/BLUD,Kementerian Lain,50,28,118
1114011,RS Umum Daerah Muda Sedia Kabupaten Aceh Tamiang,Aceh,Aceh Tamiang,Rumah Sakit Umum,C,BLUD,Pemkab,287,31,398
1109042,RS Umum Harapan Ibu,Aceh,Pidie,Rumah Sakit Umum,D,Non BLU/BLUD,SWASTA/LAINNYA,58,24,
1174019,RS Umum Bunga Melati,Aceh,Kota Lhokseumawe,Rumah Sakit Umum,D,Non BLU/BLUD,Perorangan,116,21,156
1173003,RS Umum Ummi Langsa,Aceh,Kota Langsa,Rumah Sakit Umum,D,Non BLU/BLUD,SWASTA/LAINNYA,54,20,46
1110102,RS Umum Telaga Bunda,Aceh,Bireuen,Rumah Sakit Umum,D,Non BLU/BLUD,Organisasi Sosial,50,39,186
1108028,RS Hermina Aceh,Aceh,Aceh Besar,Rumah Sakit Umum,D,Non BLU/BLUD,SWASTA/LAINNYA,63,22,
1173045,RS Cut Nyak Dhien Langsa,Aceh,Kota Langsa,Rumah Sakit Umum,D,Non BLU/BLUD,Organisasi Sosial,68,16,79
1277026,RS Umum Inanta,Sumatera Utara,Kota Padang Sidempuan,Rumah Sakit Umum,C,Non BLU/BLUD,Organisasi Sosial,101,31,94
1213059,RS Umum Putri Bidadari,Sumatera Utara,Langkat,Rumah Sakit Umum,B,Non BLU/BLUD,SWASTA/LAINNYA,367,44,721
1212023,RS Umum Dr. Gerhard L. Tobing,Sumatera Utara,Deli Serdang,Rumah Sakit Umum,C,Non BLU/BLUD,SWASTA/LAINNYA,101,14,211
1208066,RS Umum Utama,Sumatera Utara,Asahan,Rumah Sakit Umum,D,Non BLU/BLUD,SWASTA/LAINNYA,60,12,39
1273102,RS Murni Teguh Horas Insani,Sumatera Utara,Kota Pematang Siantar,Rumah Sakit Umum,C,Non BLU/BLUD,Perusahaan,105,35,275
1272033,RS Umum Hadi Husada,Sumatera Utara,Kota Tanjung Balai,Rumah Sakit Umum,D,Non BLU/BLUD,Perusahaan,74,22,98
1212198,RS Umum Daerah Bangun Purba,Sumatera Utara,Deli Serdang,Rumah Sakit Umum,D,BLUD,Pemkab,55,13,
1275826,RS Umum Bahagia Medan,Sumatera Utara,Kota Medan,Rumah Sakit Umum,D,Non BLU/BLUD,SWASTA/LAINNYA,45,5,19
1275276,RS Umum Vina Estetica,Sumatera Utara,Kota Medan,Rumah Sakit Umum,C,Non BLU/BLUD,Organisasi Sosial,112,56,244
1205035,RS Umum Daerah Dolok Sanggul,Sumatera Utara,Humbang Hasundutan,Rumah Sakit Umum,C,BLUD,Pemkab,107,61,335
1205142,RS Umum Sint Lucia,Sumatera Utara,Tapanuli Utara,Rumah Sakit Umum,D,Non BLU/BLUD,Organisasi Katholik,60,20,59
1214010,RS Umum Daerah Lukas Hilisimaetano,Sumatera Utara,Nias Selatan,Rumah Sakit Umum,D,Non BLU/BLUD,Pemkab,50,4,
1275232,RS Khusus Bedah Accuplast,Sumatera Utara,Kota Medan,Rumah Sakit Khusus Bedah,C,Non BLU/BLUD,Organisasi Sosial,27,14,18
1275126,RS Umum Methodist,Sumatera Utara,Kota Medan,Rumah Sakit Umum,C,Non BLU/BLUD,Organisasi Protestan,106,57,104
1207073,RS Umum Citra Medika,Sumatera Utara,Labuhan Batu,Rumah Sakit Umum,D,Non BLU/BLUD,SWASTA/LAINNYA,17,3,
1203022,RS Umum Daerah Panyabungan,Sumatera Utara,Mandailing Natal,Rumah Sakit Umum,C,BLUD,Pemkab,123,53,358
1277015,RS TNI Tk. IV 01.07.03,Sumatera Utara,Kota Padang Sidempuan,Rumah Sakit Umum,D,Non BLU/BLUD,TNI AD,53,23,16
1276036,RS Umum Artha Medica,Sumatera Utara,Kota Binjai,Rumah Sakit Umum,C,Non BLU/BLUD,Organisasi Sosial,143,34,196
1275928,RS Khusus Mata Prima Vision,Sumatera Utara,Kota Medan,Rumah Sakit Khusus Mata,C,Non BLU/BLUD,Perusahaan,16,5,35
1275750,RS Umum Prof. Dr. Boloni,Sumatera Utara,Kota Medan,Rumah Sakit Umum,C,Non BLU/BLUD,Organisasi Sosial,100,27,75
1225002,RS Pratama Kab. Nias Barat,Sumatera Utara,Nias Barat,Rumah Sakit Umum,D PRATAMA,Non BLU/BLUD,Pemkab,31,20,5
1209081,RS Umum Karya Husada,Sumatera Utara,Simalungun,Rumah Sakit Umum,D,Non BLU/BLUD,SWASTA/LAINNYA,93,23,94
1209021,RS Umum Laras Kabupaten Simalungun,Sumatera Utara,Simalungun,Rumah Sakit Umum,C,Non BLU/BLUD,BUMN,98,42,112
1213057,RS Umum Delia,Sumatera Utara,Langkat,Rumah Sakit Umum,C,Non BLU/BLUD,Organisasi Sosial,114,32,215
1211126,RS Umum Amanda,Sumatera Utara,Karo,Rumah Sakit Umum,C,Non BLU/BLUD,Perusahaan,193,32,202
1208059,RS Umum Bunda Mulia,Sumatera Utara,Asahan,Rumah Sakit Umum,D,Non BLU/BLUD,Perorangan,82,26,76
1210021,RS Umum Serenapita,Sumatera Utara,Dairi,Rumah Sakit Umum,D,Non BLU/BLUD,Perusahaan,53,20,
1275932,RS Gigi dan Mulut Prima,Sumatera Utara,Kota Medan,Rumah Sakit Khusus Gigi dan Mulut,C,Non BLU/BLUD,SWASTA/LAINNYA,10,13,33
1212201,RS Dhillon,Sumatera Utara,Deli Serdang,Rumah Sakit Umum,D,Non BLU/BLUD,SWASTA/LAINNYA,53,10,
1275909,RS Umum Madani,Sumatera Utara,Kota Medan,Rumah Sakit Umum,C,Non BLU/BLUD,Perusahaan,144,30,95
1274034,RS Umum Sri Pamela,Sumatera Utara,Kota Tebing Tinggi,Rumah Sakit Umum,C,Non BLU/BLUD,BUMN,167,55,285
1275998,RS Ibu dan Anak Stella Maris,Sumatera Utara,Kota Medan,Rumah Sakit Khusus Ibu dan Anak,C,Non BLU/BLUD,Perusahaan,76,32,263
1275841,RS Umum Estomihi,Sumatera Utara,Kota Medan,Rumah Sakit Umum,C,Non BLU/BLUD,Perusahaan,115,28,170
1275516,RS Umum Mitra Medika,Sumatera Utara,Kota Medan,Rumah Sakit Umum,C,Non BLU/BLUD,Organisasi Sosial,163,81,432
1219016,RS Umum Kasih Permata Dara,Sumatera Utara,Batu Bara,Rumah Sakit Umum,D,Non BLU/BLUD,Perorangan,47,8,
1278002,RS Umum Bethesda Gunungsitoli,Sumatera Utara,Kota Gunungsitoli,Rumah Sakit Umum,C,Non BLU/BLUD,Organisasi Sosial,107,33,88
1205061,RS Umum HKBP Balige,Sumatera Utara,Toba Samosir,Rumah Sakit Umum,C,BLU,Organisasi Protestan,162,26,283
1219002,RS Umum Lasmi Kartika,Sumatera Utara,Batu Bara,Rumah Sakit Umum,D,Non BLU/BLUD,Organisasi Sosial,54,10,89
1275922,RS Khusus Mata Provinsi Sumatera Utara,Sumatera Utara,Kota Medan,Rumah Sakit Khusus Mata,B,BLUD,Pemprop,30,11,127
1271016,RS Umum Daerah Dr. FL Tobing Sibolga,Sumatera Utara,Kota Sibolga,Rumah Sakit Umum,B,BLUD,Pemkot,196,101,472
1275804,RS Ibu dan Anak Badrul Aini,Sumatera Utara,Kota Medan,Rumah Sakit Khusus Ibu dan Anak,C,Non BLU/BLUD,Perusahaan,55,8,32
1275997,RS Umum Bina Kasih,Sumatera Utara,Kota Medan,Rumah Sakit Umum,B,Non BLU/BLUD,Organisasi Sosial,327,84,158
1275141,RS AL Dr. Komang Makes Belawan,Sumatera Utara,Kota Medan,Rumah Sakit Umum,C,Non BLU/BLUD,TNI AL,100,28,78
1207068,RS Umum Hartati Medical Centre,Sumatera Utara,Labuhan Batu,Rumah Sakit Umum,D,Non BLU/BLUD,SWASTA/LAINNYA,50,19,9
1203044,RS Umum Daerah Gunung Tua,Sumatera Utara,Padang Lawas Utara,Rumah Sakit Umum,C,Non BLU/BLUD,Pemkab,104,58,479
1275921,RS Khusus Bedah Setia Budi,Sumatera Utara,Kota Medan,Rumah Sakit Khusus Bedah,C,Non BLU/BLUD,Perusahaan,28,35,91
1275783,RS Ibu dan Anak Murni Teguh Rosiva,Sumatera Utara,Kota Medan,Rumah Sakit Khusus Ibu dan Anak,C,Non BLU/BLUD,Perusahaan,57,18,25
1212177,RS Umum Yoshua,Sumatera Utara,Deli Serdang,Rumah Sakit Umum,C,Non BLU/BLUD,Perusahaan,100,36,38
1209076,RS Umum Daerah Perdagangan,Sumatera Utara,Simalungun,Rumah Sakit Umum,C,BLUD,Pemkab,105,30,186
1218125,RS Umum Daerah Sultan Sulaiman Syariful Alamsyah,Sumatera Utara,Serdang Bedagai,Rumah Sakit Umum,C,BLUD,Pemkab,148,36,317
1212186,RS Ibu dan Anak Maharani,Sumatera Utara,Deli Serdang,Rumah Sakit Khusus Ibu dan Anak,C,Non BLU/BLUD,Perusahaan,37,21,26
1275147,RS Umum Full Bethesda,Sumatera Utara,Deli Serdang,Rumah Sakit Umum,C,Non BLU/BLUD,Organisasi Sosial,127,25,29
1273033,RS Umum Harapan,Sumatera Utara,Kota Pematang Siantar,Rumah Sakit Umum,C,Non BLU/BLUD,Organisasi Katholik,123,30,350
1275911,RS Umum Siloam Dhirga Surya,Sumatera Utara,Kota Medan,Rumah Sakit Umum,B,Non BLU/BLUD,Perusahaan,255,134,141
1275035,RS Tk. II Putri Hijau Medan,Sumatera Utara,Kota Medan,Rumah Sakit Umum,B,BLU,TNI AD,200,61,476
1212197,RS Ibu dan Anak Pramaliesa,Sumatera Utara,Deli Serdang,Rumah Sakit Khusus Ibu dan Anak,C,Non BLU/BLUD,SWASTA/LAINNYA,30,16,
1219003,RS Umum Daerah Batu Bara,Sumatera Utara,Batu Bara,Rumah Sakit Umum,C,BLUD,Pemkab,104,24,344
1207067,RS Umum Karya Bakti Ujung Bandar,Sumatera Utara,Labuhan Batu,Rumah Sakit Umum,C,Non BLU/BLUD,Perusahaan,100,23,93
1275874,RS Khusus Gigi dan Mulut Univ. Sumatera Utara,Sumatera Utara,Kota Medan,Rumah Sakit Khusus Gigi dan Mulut,B,Non BLU/BLUD,Kementerian Lain,12,16,65
1275622,RS Umum Imelda Pekerja Indonesia,Sumatera Utara,Kota Medan,Rumah Sakit Umum,B,Non BLU/BLUD,Perusahaan,224,98,458
1207052,RS Sri Pamela Torgamba,Sumatera Utara,Labuhan Batu Selatan,Rumah Sakit Umum,D,Non BLU/BLUD,BUMN,58,24,85
1212200,RS Umum Mitra Guray Petumbukan,Sumatera Utara,Deli Serdang,Rumah Sakit Umum,D,Non BLU/BLUD,Perorangan,60,14,
1274058,RS Bhayangkara Tk.III Kota Tebing Tinggi,Sumatera Utara,Kota Tebing Tinggi,Rumah Sakit Umum,C,BLU,POLRI,137,36,354
1276077,RS Umum Sylvani,Sumatera Utara,Kota Binjai,Rumah Sakit Umum,C,Non BLU/BLUD,Perusahaan,132,29,209
1273011,RS Umum Daerah Dr. Djasamen Saragih,Sumatera Utara,Kota Pematang Siantar,Rumah Sakit Umum,B,BLUD,Pemkot,130,55,357
1271032,RS Umum Metta Medika,Sumatera Utara,Kota Sibolga,Rumah Sakit Umum,C,Non BLU/BLUD,Perusahaan,112,66,215
1275163,RS Umum Islam Malahayati,Sumatera Utara,Kota Medan,Rumah Sakit Umum,C,Non BLU/BLUD,Organisasi Sosial,102,64,354
1275010,RS Umum Wahyu,Sumatera Utara,Kota Medan,Rumah Sakit Umum,D,Non BLU/BLUD,SWASTA/LAINNYA,36,13,
1204056,RS Umum Daerah Pandan,Sumatera Utara,Tapanuli Tengah,Rumah Sakit Umum,C,BLUD,Pemkab,124,38,389
1212199,RS Umum Mahawira Prima Indonesia,Sumatera Utara,Deli Serdang,Rumah Sakit Umum,C,Non BLU/BLUD,Perusahaan,101,27,
1218158,RS Grandmed ,Sumatera Utara,Deli Serdang,Rumah Sakit Umum,B,Non BLU/BLUD,Organisasi Sosial,403,67,516
1211011,RS Umum Daerah Kabupaten Karo,Sumatera Utara,Karo,Rumah Sakit Umum,C,BLUD,Pemkab,110,31,360
1212067,RS Umum Hidayah,Sumatera Utara,Deli Serdang,Rumah Sakit Umum,D,Non BLU/BLUD,Organisasi Sosial,58,18,39
1213013,RS Umum Daerah Tanjung Pura,Sumatera Utara,Langkat,Rumah Sakit Umum,C,BLUD,Pemkab,120,33,261
1212171,RS Umum Rahmad Hidayah,Sumatera Utara,Deli Serdang,Rumah Sakit Umum,C,BLU,Organisasi Sosial,107,22,29
1275923,RS Umum Mitra Medika Amplas,Sumatera Utara,Kota Medan,Rumah Sakit Umum,C,Non BLU/BLUD,SWASTA/LAINNYA,200,28,146
1275050,RS Umum Deli,Sumatera Utara,Kota Medan,Rumah Sakit Umum,D,Non BLU/BLUD,Organisasi Sosial,68,34,255
1275899,RS Umum Tere Margareth,Sumatera Utara,Kota Medan,Rumah Sakit Umum,C,Non BLU/BLUD,Organisasi Sosial,106,27,39
1201016,RS Umum Daerah dr. M. Thomsen Nias,Sumatera Utara,Nias,Rumah Sakit Umum,C,BLUD,Pemkab,349,42,859
1275996,RS SUFINA AZIZ,Sumatera Utara,Kota Medan,Rumah Sakit Umum,C,Non BLU/BLUD,Organisasi Sosial,109,35,153
1275655,RS Umum Pusat H. Adam Malik,Sumatera Utara,Kota Medan,Rumah Sakit Umum,A,BLU,Kemkes ,758,158,2489
1273106,RS Umum Tiara Kasih Sejati,Sumatera Utara,Kota Pematang Siantar,Rumah Sakit Umum,C,Non BLU/BLUD,Perorangan,101,20,151
1207069,RS Dokter Takdir,Sumatera Utara,Labuhan Batu,Rumah Sakit Umum,D,Non BLU/BLUD,Perusahaan,33,12,3
1208020,RS Umum Ibu Kartini,Sumatera Utara,Asahan,Rumah Sakit Umum,D,Non BLU/BLUD,SWASTA/LAINNYA,62,14,40
1223018,RS Sri Pamela Membang Muda,Sumatera Utara,Labuhan Batu Utara,Rumah Sakit Umum,D,Non BLU/BLUD,SWASTA/LAINNYA,56,22,
1218025,RS Umum Sawit Indah Perbaungan,Sumatera Utara,Serdang Bedagai,Rumah Sakit Umum,D,Non BLU/BLUD,Perusahaan,50,12,11
1212184,RS Jiwa Bina Karsa Tuntungan,Sumatera Utara,Deli Serdang,Rumah Sakit Khusus Jiwa,C,Non BLU/BLUD,SWASTA/LAINNYA,65,15,35
1273055,RS Umum Vita Insani,Sumatera Utara,Kota Pematang Siantar,Rumah Sakit Umum,B,Non BLU/BLUD,Perusahaan,237,44,562
1276092,RS Ibu dan Anak Grand Fatimah,Sumatera Utara,Kota Binjai,Rumah Sakit Khusus Ibu dan Anak,C,Non BLU/BLUD,SWASTA/LAINNYA,30,16,
1208060,RS Umum Lina,Sumatera Utara,Asahan,Rumah Sakit Umum,D,Non BLU/BLUD,Perorangan,50,18,37
1275265,RS Umum Sundari,Sumatera Utara,Kota Medan,Rumah Sakit Umum,C,Non BLU/BLUD,Organisasi Sosial,179,47,235
1274061,RS Umum Natama,Sumatera Utara,Kota Tebing Tinggi,Rumah Sakit Umum,D,Non BLU/BLUD,Perusahaan,50,15,41
1223006,RS Umum Flora,Sumatera Utara,Labuhan Batu Utara,Rumah Sakit Umum,D,Non BLU/BLUD,Perusahaan,31,12,
1205024,RS Umum Daerah Dr. Hadrianus Sinaga,Sumatera Utara,Samosir,Rumah Sakit Umum,C,BLUD,Pemkab,108,33,252
1212181,RS Umum Mitra Medika,Sumatera Utara,Deli Serdang,Rumah Sakit Umum,C,Non BLU/BLUD,SWASTA/LAINNYA,231,28,233
1212012,RS Umum Daerah Drs. H. Amri Tambunan,Sumatera Utara,Deli Serdang,Rumah Sakit Umum,B,BLUD,Pemkab,211,136,668
1223002,RS Umum Daerah  Aek Kanopan,Sumatera Utara,Labuhan Batu Utara,Rumah Sakit Umum,C,Non BLU/BLUD,Pemkab,120,26,272
1213035,RS Umum Pertamina Pangkalan Brandan,Sumatera Utara,Langkat,Rumah Sakit Umum,C,Non BLU/BLUD,BUMN,102,78,212
1276090,RS Umum Raskita,Sumatera Utara,Kota Binjai,Rumah Sakit Umum,D,BLU,SWASTA/LAINNYA,47,15,
1218024,RS Umum Melati ,Sumatera Utara,Serdang Bedagai,Rumah Sakit Umum,C,Non BLU/BLUD,Organisasi Sosial,172,28,129
1275930,RS Umum Hermina Medan,Sumatera Utara,Kota Medan,Rumah Sakit Umum,C,Non BLU/BLUD,SWASTA/LAINNYA,135,72,230
1212172,RS Umum Patar Asih,Sumatera Utara,Deli Serdang,Rumah Sakit Umum,C,Non BLU/BLUD,Perusahaan,100,47,208
1275094,RS Umum Advent Medan,Sumatera Utara,Kota Medan,Rumah Sakit Umum,C,Non BLU/BLUD,Organisasi Sosial,178,55,227
1277011,RS Umum Daerah Padang Sidempuan,Sumatera Utara,Kota Padang Sidempuan,Rumah Sakit Umum,C,BLUD,Pemkot,151,28,477
1276040,RS Tk. IV 01.07.02 Binjai,Sumatera Utara,Kota Binjai,Rumah Sakit Umum,C,Non BLU/BLUD,TNI AD,125,27,119
