Team,Opponent,Format,Ground,Year,Toss,Selection,Run Scored,Wicket Lost,Fours,Sixes,Extras,Run Rate,Avg Bat Strike Rate,Highest Score,Wicket Taken,Given Extras,Highest Individual wicket,Player Of The Match,Result
India,Pakistan,ODI,Mirpur,2012,Lose,Bowling,330.0,4.0,34.0,4.0,11.0,6.89,152.32,183.0,6.0,15.0,2.0,Virat Kohli,Win
Pakistan,India,ODI,Mirpur,2012,Win,Batting,329.0,6.0,27.0,2.0,15.0,6.58,86.28,112.0,4.0,11.0,2.0,Virat Kohli,Lose
Bangladesh,Sri Lanka,ODI,Mirpur,2012,Win,Bowling,212.0,5.0,23.0,0.0,20.0,5.7,72.18,59.0,10.0,11.0,3.0,Shakib Al Hasan, Win D/L
Sri Lanka,Bangladesh,ODI,Mirpur,2012,Lose,Batting,232.0,10.0,19.0,1.0,11.0,4.65,64.14,62.0,5.0,20.0,2.0,Shakib Al Hasan, Lose D/L
Bangladesh,Pakistan,ODI,Mirpur,2012,Win,Bowling,234.0,8.0,20.0,1.0,11.0,4.68,76.41,68.0,9.0,18.0,2.0,Shahid Afridi,Lose
Pakistan,Bangladesh,ODI,Mirpur,2012,Lose,Batting,236.0,9.0,19.0,3.0,18.0,4.72,74.75,46.0,8.0,11.0,3.0,Shahid Afridi,Win
Pakistan,Sri Lanka,ODI,Fatullah,2014,Lose,Bowling,284.0,10.0,26.0,6.0,13.0,5.81,101.36,74.0,6.0,18.0,2.0,Lasith Malinga,Lose
Sri Lanka,Pakistan,ODI,Fatullah,2014,Win,Batting,296.0,6.0,29.0,2.0,18.0,5.92,86.84,102.0,10.0,13.0,5.0,Lasith Malinga,Win
Bangladesh,India,ODI,Fatullah,2014,Lose,Batting,279.0,7.0,20.0,6.0,18.0,5.58,81.02,117.0,4.0,11.0,1.0,Virat Kohli,Lose
India,Bangladesh,ODI,Fatullah,2014,Win,Bowling,280.0,4.0,29.0,4.0,11.0,5.71,82.58,136.0,7.0,18.0,4.0,Virat Kohli,Win
Afghanistan,Pakistan,ODI,Fatullah,2014,Win,Bowling,176.0,10.0,18.0,0.0,13.0,3.71,45.44,44.0,8.0,5.0,2.0,Umar Akmal,Lose
Pakistan,Afghanistan,ODI,Fatullah,2014,Lose,Batting,248.0,8.0,22.0,5.0,5.0,4.96,70.21,102.0,10.0,13.0,3.0,Umar Akmal,Win
India,Sri Lanka,ODI,Fatullah,2014,Lose,Batting,264.0,9.0,17.0,5.0,11.0,5.28,82.73,94.0,8.0,8.0,3.0,Kumar Sangakkara,Lose
Sri Lanka,India,ODI,Fatullah,2014,Win,Bowling,265.0,8.0,25.0,4.0,8.0,5.37,85.75,103.0,9.0,11.0,4.0,Kumar Sangakkara,Win
Bangladesh,Afghanistan,ODI,Fatullah,2014,Win,Bowling,222.0,10.0,16.0,4.0,12.0,4.64,52.1,50.0,6.0,17.0,2.0,Samiullah Shinwari,Lose
Afghanistan,Bangladesh,ODI,Fatullah,2014,Lose,Batting,254.0,6.0,21.0,5.0,17.0,5.08,55.1,90.0,10.0,12.0,3.0,Samiullah Shinwari,Win
India,Pakistan,ODI,Mirpur,2014,Lose,Batting,245.0,8.0,23.0,5.0,8.0,4.9,74.32,58.0,9.0,17.0,3.0,Mohammad Hafeez,Lose
Pakistan,India,ODI,Mirpur,2014,Win,Bowling,249.0,9.0,16.0,8.0,17.0,5.01,68.36,75.0,8.0,8.0,3.0,Mohammad Hafeez,Win
Afghanistan,Sri Lanka,ODI,Mirpur,2014,Lose,Bowling,124.0,10.0,11.0,2.0,9.0,3.2,38.46,37.0,6.0,18.0,2.0,Kumar Sangakkara,Lose
Sri Lanka,Afghanistan,ODI,Mirpur,2014,Win,Batting,253.0,6.0,18.0,2.0,18.0,5.06,79.39,76.0,10.0,9.0,3.0,Kumar Sangakkara,Win
Bangladesh,Pakistan,ODI,Mirpur,2014,Win,Batting,326.0,3.0,31.0,8.0,21.0,6.52,138.5,100.0,7.0,13.0,2.0,Shahid Afridi,Lose
Pakistan,Bangladesh,ODI,Mirpur,2014,Lose,Bowling,329.0,7.0,29.0,10.0,13.0,6.6,114.45,103.0,3.0,21.0,2.0,Shahid Afridi,Win
Afghanistan,India,ODI,Mirpur,2014,Lose,Batting,159.0,10.0,16.0,2.0,14.0,3.5,45.2,50.0,2.0,5.0,1.0,Ravindra Jadeja,Lose
India,Afghanistan,ODI,Mirpur,2014,Win,Bowling,160.0,2.0,13.0,1.0,5.0,4.94,78.63,60.0,10.0,14.0,4.0,Ravindra Jadeja,Win
Bangladesh,Sri Lanka,ODI,Mirpur,2014,Win,Batting,204.0,9.0,14.0,1.0,17.0,4.08,49.51,49.0,7.0,9.0,2.0,Angelo Mathews,Lose
Sri Lanka,Bangladesh,ODI,Mirpur,2014,Lose,Bowling,208.0,7.0,19.0,1.0,9.0,4.24,55.16,74.0,9.0,17.0,2.0,Angelo Mathews,Win
Pakistan,Sri Lanka,ODI,Mirpur,2014,Win,Batting,260.0,5.0,21.0,5.0,6.0,5.2,86.61,114.0,5.0,8.0,3.0,Lasith Malinga,Lose
Sri Lanka,Pakistan,ODI,Mirpur,2014,Lose,Bowling,261.0,5.0,33.0,2.0,8.0,5.63,78.52,101.0,5.0,6.0,5.0,Lasith Malinga,Win
Bangladesh,India,T20I,Mirpur,2016,Win,Bowling,121.0,7.0,8.0,3.0,10.0,6.05,72.89,44.0,6.0,7.0,3.0,Rohit Sharma,Lose
India,Bangladesh,T20I,Mirpur,2016,Lose,Batting,166.0,6.0,15.0,5.0,7.0,8.3,146.48,83.0,7.0,10.0,3.0,Rohit Sharma,Win
Sri Lanka,UAE,T20I,Mirpur,2016,Lose,Batting,129.0,8.0,14.0,1.0,5.0,6.45,87.84,50.0,9.0,16.0,4.0,Lasith Malinga,Win
UAE,Sri Lanka,T20I,Mirpur,2016,Win,Bowling,115.0,9.0,7.0,2.0,16.0,5.75,65.1,37.0,8.0,5.0,3.0,Lasith Malinga,Lose
Bangladesh,UAE,T20I,Mirpur,2016,Lose,Batting,133.0,8.0,8.0,5.0,5.0,6.65,64.8,47.0,10.0,3.0,2.0,Mahmudullah,Win
UAE,Bangladesh,T20I,Mirpur,2016,Win,Bowling,82.0,10.0,7.0,4.0,3.0,4.64,50.99,30.0,8.0,5.0,2.0,Mahmudullah,Lose
India,Pakistan,T20I,Mirpur,2016,Win,Bowling,85.0,5.0,10.0,0.0,14.0,5.48,56.88,49.0,10.0,15.0,3.0,Virat Kohli,Win
Pakistan,India,T20I,Mirpur,2016,Lose,Batting,83.0,10.0,8.0,0.0,15.0,4.74,70.39,25.0,5.0,14.0,3.0,Virat Kohli,Lose
Bangladesh,Sri Lanka,T20I,Mirpur,2016,Win,Batting,147.0,7.0,15.0,4.0,4.0,7.35,68.71,80.0,8.0,3.0,3.0,Sabbir Rahman,Win
Sri Lanka,Bangladesh,T20I,Mirpur,2016,Lose,Bowling,124.0,8.0,7.0,4.0,3.0,6.2,93.02,37.0,7.0,4.0,3.0,Sabbir Rahman,Lose
Pakistan,UAE,T20I,Mirpur,2016,Lose,Bowling,131.0,3.0,12.0,6.0,3.0,7.01,92.45,63.0,6.0,9.0,2.0,Shoaib Malik,Win
UAE,Pakistan,T20I,Mirpur,2016,Win,Batting,129.0,6.0,13.0,6.0,9.0,6.45,103.27,46.0,3.0,3.0,3.0,Shoaib Malik,Lose
India,Sri Lanka,T20I,Mirpur,2016,Win,Bowling,142.0,5.0,15.0,4.0,1.0,7.34,110.74,56.0,9.0,10.0,2.0,Virat Kohli,Win
Sri Lanka,India,T20I,Mirpur,2016,Lose,Batting,138.0,9.0,14.0,2.0,10.0,6.9,107.95,30.0,5.0,1.0,2.0,Virat Kohli,Lose
Bangladesh,Pakistan,T20I,Mirpur,2016,Lose,Bowling,131.0,5.0,10.0,3.0,8.0,6.83,118.28,48.0,7.0,0.0,3.0,Soumya Sarkar,Win
Pakistan,Bangladesh,T20I,Mirpur,2016,Win,Batting,129.0,7.0,12.0,4.0,0.0,6.45,68.11,58.0,5.0,8.0,2.0,Soumya Sarkar,Lose
India,UAE,T20I,Mirpur,2016,Lose,Bowling,82.0,1.0,14.0,2.0,2.0,8.06,132.62,39.0,9.0,7.0,2.0,Rohit Sharma,Win
UAE,India,T20I,Mirpur,2016,Win,Batting,81.0,9.0,6.0,1.0,7.0,4.05,34.28,43.0,1.0,2.0,1.0,Rohit Sharma,Lose
Pakistan,Sri Lanka,T20I,Mirpur,2016,Win,Bowling,151.0,4.0,18.0,3.0,7.0,7.81,120.67,48.0,4.0,7.0,2.0,Umar Akmal,Win
Sri Lanka,Pakistan,T20I,Mirpur,2016,Lose,Batting,150.0,4.0,17.0,2.0,7.0,7.5,80.93,75.0,4.0,7.0,1.0,Umar Akmal,Lose
Bangladesh,India,T20I,Mirpur,2016,Lose,Batting,120.0,5.0,12.0,2.0,3.0,8.0,115.35,33.0,2.0,0.0,1.0,Shikhar Dhawan,Lose
India,Bangladesh,T20I,Mirpur,2016,Win,Bowling,122.0,2.0,15.0,3.0,0.0,8.81,159.03,60.0,5.0,3.0,1.0,Shikhar Dhawan,Win
Bangladesh,Sri Lanka,ODI,Dubai(DSC),2018,Win,Batting,261.0,10.0,19.0,6.0,12.0,5.27,47.61,144.0,10.0,1.0,2.0,Mushfiqur Rahim,Win
Sri Lanka,Bangladesh,ODI,Dubai(DSC),2018,Lose,Bowling,124.0,10.0,8.0,4.0,1.0,3.5,56.26,29.0,10.0,12.0,4.0,Mushfiqur Rahim,Lose
Hong Kong,Pakistan,ODI,Dubai(DSC),2018,Win,Batting,116.0,10.0,10.0,1.0,4.0,3.12,40.6,27.0,2.0,4.0,2.0,Usman Shinwari,Lose
Pakistan,Hong Kong,ODI,Dubai(DSC),2018,Lose,Bowling,120.0,2.0,9.0,3.0,4.0,5.07,83.7,50.0,10.0,4.0,3.0,Usman Shinwari,Win
Afghanistan,Sri Lanka,ODI,Abu Dhabi,2018,Win,Batting,249.0,10.0,19.0,3.0,9.0,4.98,106.37,72.0,10.0,13.0,2.0,Rahmat Shah,Win
Sri Lanka,Afghanistan,ODI,Abu Dhabi,2018,Lose,Bowling,158.0,10.0,10.0,1.0,13.0,3.82,43.2,36.0,10.0,9.0,5.0,Rahmat Shah,Lose
Hong Kong,India,ODI,Dubai(DSC),2018,Win,Bowling,259.0,8.0,19.0,6.0,13.0,5.18,77.72,92.0,7.0,5.0,3.0,Shikhar Dhawan,Lose
India,Hong Kong,ODI,Dubai(DSC),2018,Lose,Batting,285.0,7.0,25.0,5.0,5.0,5.7,67.08,127.0,8.0,13.0,3.0,Shikhar Dhawan,Win
India,Pakistan,ODI,Dubai(DSC),2018,Lose,Bowling,164.0,2.0,17.0,5.0,4.0,5.65,92.42,52.0,10.0,7.0,3.0,Bhuvneshwar Kumar,Win
Pakistan,India,ODI,Dubai(DSC),2018,Win,Batting,162.0,10.0,10.0,2.0,7.0,3.75,45.54,47.0,2.0,4.0,1.0,Bhuvneshwar Kumar,Lose
Afghanistan,Bangladesh,ODI,Abu Dhabi,2018,Win,Batting,255.0,7.0,24.0,1.0,7.0,5.1,93.22,58.0,10.0,5.0,2.0,Rashid Khan,Win
Bangladesh,Afghanistan,ODI,Abu Dhabi,2018,Lose,Bowling,119.0,10.0,5.0,0.0,5.0,2.82,34.44,32.0,7.0,7.0,4.0,Rashid Khan,Lose
Bangladesh,India,ODI,Dubai(DSC),2018,Lose,Batting,173.0,10.0,11.0,4.0,3.0,3.51,56.81,42.0,3.0,4.0,1.0,Ravindra Jadeja,Lose
India,Bangladesh,ODI,Dubai(DSC),2018,Win,Bowling,174.0,3.0,13.0,4.0,4.0,4.78,66.77,83.0,10.0,3.0,4.0,Ravindra Jadeja,Win
Afghanistan,Pakistan,ODI,Abu Dhabi,2018,Win,Batting,257.0,6.0,16.0,5.0,5.0,5.14,92.35,97.0,7.0,17.0,3.0,Shoaib Malik,Lose
Pakistan,Afghanistan,ODI,Abu Dhabi,2018,Lose,Bowling,258.0,7.0,13.0,6.0,17.0,5.21,92.88,80.0,6.0,5.0,3.0,Shoaib Malik,Win
India,Pakistan,ODI,Dubai(DSC),2018,Lose,Bowling,238.0,1.0,24.0,6.0,1.0,6.02,91.31,114.0,7.0,8.0,2.0,Shikhar Dhawan,Win
Pakistan,India,ODI,Dubai(DSC),2018,Win,Batting,237.0,7.0,11.0,5.0,8.0,4.74,78.76,78.0,1.0,1.0,0.0,Shikhar Dhawan,Lose
Afghanistan,Bangladesh,ODI,Abu Dhabi,2018,Lose,Bowling,246.0,7.0,20.0,3.0,8.0,4.92,76.19,71.0,7.0,7.0,3.0,Mahmudullah,Lose
Bangladesh,Afghanistan,ODI,Abu Dhabi,2018,Win,Batting,249.0,7.0,15.0,3.0,7.0,4.98,72.28,74.0,7.0,8.0,2.0,Mahmudullah,Win
Afghanistan,India,ODI,Dubai(DSC),2018,Win,Batting,252.0,8.0,17.0,11.0,7.0,5.04,54.19,124.0,10.0,9.0,2.0,Mohammad Shahzad,No Result
India,Afghanistan,ODI,Dubai(DSC),2018,Lose,Bowling,252.0,10.0,17.0,5.0,9.0,5.05,71.67,60.0,8.0,7.0,3.0,Mohammad Shahzad,No Result
Bangladesh,Pakistan,ODI,Abu Dhabi,2018,Win,Batting,239.0,10.0,17.0,1.0,9.0,4.89,73.23,99.0,9.0,9.0,4.0,Mushfiqur Rahim,Win
Pakistan,Bangladesh,ODI,Abu Dhabi,2018,Lose,Bowling,202.0,9.0,10.0,2.0,9.0,4.04,60.59,83.0,10.0,9.0,4.0,Mushfiqur Rahim,Lose
Bangladesh,India,ODI,Dubai(DSC),2018,Lose,Batting,222.0,10.0,17.0,4.0,7.0,4.57,49.98,121.0,7.0,13.0,2.0,Litton Das,Lose
India,Bangladesh,ODI,Dubai(DSC),2018,Win,Bowling,223.0,7.0,13.0,6.0,13.0,4.46,73.33,48.0,10.0,7.0,3.0,Litton Das,Win
Afghanistan,Sri Lanka,T20I,Dubai(DSC),2022,Win,Bowling,106.0,2.0,10.0,5.0,12.0,10.42,142.44,40.0,10.0,6.0,3.0,Fazalhaq Farooqi,Win
Sri Lanka,Afghanistan,T20I,Dubai(DSC),2022,Lose,Batting,105.0,10.0,11.0,2.0,6.0,5.33,47.46,38.0,2.0,12.0,1.0,Fazalhaq Farooqi,Lose
India,Pakistan,T20I,Dubai(DSC),2022,Win,Bowling,148.0,5.0,10.0,5.0,14.0,7.52,97.77,35.0,10.0,5.0,4.0,Hardik Pandya,Win
Pakistan,India,T20I,Dubai(DSC),2022,Lose,Batting,147.0,10.0,13.0,4.0,5.0,7.41,114.67,43.0,5.0,14.0,3.0,Hardik Pandya,Lose
Afghanistan,Bangladesh,T20I,Sharjah,2022,Lose,Bowling,131.0,3.0,10.0,6.0,4.0,7.08,118.76,43.0,7.0,5.0,3.0,Mujeeb Ur Rahman,Win
Bangladesh,Afghanistan,T20I,Sharjah,2022,Win,Batting,127.0,7.0,10.0,1.0,5.0,6.35,87.75,48.0,3.0,4.0,1.0,Mujeeb Ur Rahman,Lose
Hong Kong,India,T20I,Dubai(DSC),2022,Win,Bowling,152.0,5.0,14.0,5.0,6.0,7.6,124.03,41.0,2.0,8.0,1.0,Suryakumar Yadav,Lose
India,Hong Kong,T20I,Dubai(DSC),2022,Lose,Batting,192.0,2.0,9.0,12.0,8.0,9.6,162.36,68.0,5.0,6.0,1.0,Suryakumar Yadav,Win
Bangladesh,Sri Lanka,T20I,Dubai(DSC),2022,Lose,Batting,183.0,7.0,15.0,6.0,10.0,9.15,135.4,39.0,8.0,17.0,3.0,Kusal Mendis,Lose
Sri Lanka,Bangladesh,T20I,Dubai(DSC),2022,Win,Bowling,184.0,8.0,14.0,6.0,17.0,9.51,123.04,60.0,7.0,10.0,2.0,Kusal Mendis,Win
Hong Kong,Pakistan,T20I,Sharjah,2022,Win,Bowling,38.0,10.0,2.0,0.0,10.0,3.56,35.31,8.0,2.0,18.0,2.0,Mohammad Rizwan,Lose
Pakistan,Hong Kong,T20I,Sharjah,2022,Lose,Batting,193.0,2.0,10.0,8.0,18.0,9.65,152.98,78.0,10.0,10.0,4.0,Mohammad Rizwan,Win
Afghanistan,Sri Lanka,T20I,Sharjah,2022,Lose,Batting,175.0,6.0,9.0,9.0,12.0,8.75,86.31,84.0,6.0,5.0,2.0,Rahmanullah Gurbaz,Lose
Sri Lanka,Afghanistan,T20I,Sharjah,2022,Win,Bowling,179.0,6.0,16.0,7.0,5.0,9.33,162.11,36.0,6.0,12.0,2.0,Rahmanullah Gurbaz,Win
India,Pakistan,T20I,Dubai(DSC),2022,Lose,Batting,181.0,7.0,16.0,5.0,14.0,9.05,151.54,60.0,5.0,8.0,1.0,Mohammad Nawaz,Lose
Pakistan,India,T20I,Dubai(DSC),2022,Win,Bowling,182.0,5.0,19.0,5.0,8.0,9.17,157.12,71.0,7.0,14.0,2.0,Mohammad Nawaz,Win
India,Sri Lanka,T20I,Dubai(DSC),2022,Lose,Batting,173.0,8.0,10.0,7.0,8.0,8.65,102.94,72.0,4.0,6.0,3.0,Dasun Shanaka,Lose
Sri Lanka,India,T20I,Dubai(DSC),2022,Win,Bowling,174.0,4.0,12.0,8.0,6.0,8.77,106.54,57.0,8.0,8.0,3.0,Dasun Shanaka,Win
Afghanistan,Pakistan,T20I,Sharjah,2022,Lose,Batting,129.0,6.0,10.0,5.0,3.0,6.45,93.31,35.0,9.0,5.0,3.0,Shadab Khan,Lose
Pakistan,Afghanistan,T20I,Sharjah,2022,Win,Bowling,131.0,9.0,6.0,8.0,5.0,6.77,102.52,36.0,6.0,3.0,2.0,Shadab Khan,Win
Afghanistan,India,T20I,Dubai(DSC),2022,Win,Bowling,111.0,8.0,9.0,3.0,3.0,5.55,51.25,64.0,2.0,2.0,2.0,Virat Kohli,Lose
India,Afghanistan,T20I,Dubai(DSC),2022,Lose,Batting,212.0,2.0,21.0,9.0,2.0,10.6,194.05,122.0,8.0,3.0,5.0,Virat Kohli,Win
Pakistan,Sri Lanka,T20I,Dubai(DSC),2022,Lose,Batting,121.0,10.0,4.0,3.0,17.0,6.31,58.78,30.0,5.0,5.0,2.0,Wanindu Hasaranga de Silva,Lose
Sri Lanka,Pakistan,T20I,Dubai(DSC),2022,Win,Bowling,124.0,5.0,9.0,5.0,5.0,7.29,111.5,55.0,10.0,17.0,3.0,Wanindu Hasaranga de Silva,Win
Pakistan,Sri Lanka,T20I,Dubai(DSC),2022,Win,Bowling,147.0,10.0,9.0,4.0,14.0,7.35,99.38,55.0,6.0,10.0,3.0,Bhanuka Rajapaksa,Lose
Sri Lanka,Pakistan,T20I,Dubai(DSC),2022,Lose,Batting,170.0,6.0,16.0,5.0,10.0,8.5,90.86,71.0,10.0,14.0,4.0,Bhanuka Rajapaksa,Win
